date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2012-01-11 | asdf
2012-01-11 | 11a
asdfafdss | 1.2
asdf-as-aa | 1.2
asdf-as-aa 1.2
2000-30-40 | 
10
129-1-1-1 | 10
1-22-3 | 10
1-11-03  | "10"
⅛-10-11  | 10
10-10-10 | 3.141564
1010-10-10 | 3.141564
1999999999999999999-10-12 | 201
1000-10-01 | 2147483647
1000-10-01 | 2147483648
1000-10-01 | 4294967549 
1000-10-02 | 0 
1000-10-02 | -0 
0010-01--01 | 10
